open,high,low,close,volume,start
104421.89,104547.97,103974.2,104085.64,270.83516061,1970-01-21 05:47:42.000
104629.98,104710.67,104300,104427.97,164.49318992,1970-01-21 05:47:38.400
105392.2,105404.36,104525.31,104629.61,191.78187868,1970-01-21 05:47:34.800
105446.83,106000,105296.01,105392.19,178.28609694,1970-01-21 05:47:31.200
105219.29,105495.99,105218.83,105446.88,56.9503971,1970-01-21 05:47:27.600
104892.89,105317.86,104789.81,105220.11,63.62891533,1970-01-21 05:47:24.000
104825.11,104975.97,104667.29,104890.32,48.73799863,1970-01-21 05:47:20.400
104885.77,105049.58,104750,104825.12,60.77827519,1970-01-21 05:47:16.800
105076,105100.12,104603.49,104885.77,163.57626569,1970-01-21 05:47:13.200
105444.33,105483.18,105059.17,105076,152.94745342,1970-01-21 05:47:09.600
105475.64,105698.68,105395,105444.35,314.04255509,1970-01-21 05:47:06.000
105697.93,105788.12,105449.4,105475.65,220.86077968,1970-01-21 05:47:02.400
105565.11,105937.46,105512.23,105697.94,162.16121596,1970-01-21 05:46:58.800
105547.53,105809.45,105471.38,105565.11,390.47403942,1970-01-21 05:46:55.200
105011.27,105574,104970.29,105547.53,183.75079939,1970-01-21 05:46:51.600
105179.12,105358.3,104931.69,105011.27,146.90854433,1970-01-21 05:46:48.000
104955.55,105221.91,104866.87,105179.12,107.09631202,1970-01-21 05:46:44.400
105113.72,105124.91,104395.06,104959.48,124.44210928,1970-01-21 05:46:40.800
105094.08,105265.44,105034.55,105106.98,68.81660046,1970-01-21 05:46:37.200
104767.62,105365,104707.29,105093.59,187.22059376,1970-01-21 05:46:33.600
104649.38,104875.46,104538.15,104767.63,76.73540807,1970-01-21 05:46:30.000
104308.77,104821.81,104299.45,104650.44,75.94926818,1970-01-21 05:46:26.400
104018.01,104473.25,103999.19,104308.77,65.38625692,1970-01-21 05:46:22.800
104148.26,104260.12,103800.81,104018,75.61664696,1970-01-21 05:46:19.200
103983.23,104216.06,103905.29,104148.26,41.24930833,1970-01-21 05:46:15.600
103989.75,104101.89,103820.89,103983.23,39.69094845,1970-01-21 05:46:12.000
104446.67,104520.49,103808.08,103989.75,147.73385081,1970-01-21 05:46:08.400
104335.98,104452.97,104272.38,104446.67,28.28144582,1970-01-21 05:46:04.800
104314.7,104438.65,104246.72,104339.62,30.04174814,1970-01-21 05:46:01.200
104592.73,104593.14,104250.51,104314.69,49.32730183,1970-01-21 05:45:57.600
104687.78,104771.52,104504.01,104592.74,35.58605435,1970-01-21 05:45:54.000
104429.76,104800,104412.34,104687.77,49.50045314,1970-01-21 05:45:50.400
